value,value2,value3,value4,value5
10.0,31.0,31.0,31.0,25.4
10.2,25.4,30.5,30.5,12.3
10.1,35.2,30.0,30.0,45.8
10.5,20.1,29.5,29.5,8.2
10.3,40.5,29.0,29.0,33.1
10.8,15.8,28.5,28.5,2.5
11.0,45.2,28.0,28.0,49.1
10.7,10.5,27.5,27.5,20.0
10.4,50.0,27.0,27.0,40.3
10.6,12.4,26.5,26.5,5.5
11.2,48.5,26.0,26.0,22.1
11.5,15.2,25.5,25.5,47.2
11.3,42.1,25.0,25.0,1.2
12.0,18.5,24.5,24.5,36.5
12.5,38.4,24.0,24.0,14.9
12.2,22.1,23.5,23.5,42.0
13.0,35.5,23.0,23.0,9.8
14.5,28.4,22.5,22.5,28.4
15.0,32.1,22.0,22.0,3.3
14.2,30.5,21.5,21.5,46.7
13.5,45.2,21.0,21.0,12.8
12.8,10.2,20.5,20.5,35.2
12.0,50.4,20.0,20.0,19.4
11.5,15.1,15.0,15.0,4.1
11.8,45.2,15.0,15.0,43.2
12.2,20.1,15.0,15.0,11.5
13.5,35.5,14.0,14.0,29.1
15.0,25.4,13.0,13.0,0.5
17.5,40.2,12.0,12.0,38.9
